Date,Position,Track,Artists,Streams
2020-01-01,1,Tusa,"KAROL G, Nicki Minaj",344475
2020-01-01,2,Alocao (With Bad Gyal),Omar Montes,253372
2020-01-01,3,Dance Monkey,Tones And I,216578
2020-01-01,4,China,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",192148
2020-01-01,5,RITMO (Bad Boys For Life),"Black Eyed Peas, J Balvin",188835
2020-01-01,6,Indeciso,"Reik, J Balvin, Lalo Ebratt",178743
2020-01-01,7,Vete,Bad Bunny,178724
2020-01-01,8,Zorra,Bad Gyal,178187
2020-01-01,9,Whine Up,"Nicky Jam, Anuel AA",174681
2020-01-01,10,Blanco,J Balvin,171215
2020-01-01,11,+,"Aitana, Cali Y El Dandee",165164
2020-01-01,12,Aventura,"Lunay, Ozuna, Anuel AA",148271
2020-01-01,13,Hola - Remix,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",144469
2020-01-01,14,Easy - Remix,"Jhay Cortez, Ozuna",143325
2020-01-01,15,Fantasias,"Rauw Alejandro, Farruko",135951
2020-01-01,16,Rueda,Chimbala,133162
2020-01-01,17,Si por mi fuera,Beret,131387
2020-01-01,18,"Yo x Ti, Tu x Mi","ROSALÍA, Ozuna",124730
2020-01-01,19,Adicto (with Anuel AA & Ozuna),Tainy,120407
2020-01-01,20,La Rubia - Remix 2,"La Nueva Escuela, Omar Montes",115707
2020-01-01,21,Hasta Que Salga el Sol,Ozuna,112070
2020-01-01,22,Se iluminaba,"Fred De Palma, Ana Mena",110245
2020-01-01,23,Te Quemaste,"Manuel Turizo, Anuel AA",100028
2020-01-01,24,Sigues Con El,"Dímelo Flow, Arcangel, Sech",99638
2020-01-01,25,Perreo en La Luna,"Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid",99016
2020-01-01,26,Fuera De Mi Mente,"Lérica, Juan Magán",97986
2020-01-01,27,Callaita,"Bad Bunny, Tainy",94547
2020-01-01,28,Con Altura,"ROSALÍA, J Balvin, El Guincho",94266
2020-01-01,29,La Cama,"Lunay, Myke Towers",91554
2020-01-01,30,B11 (feat. Myke Towers),"Rvssian, Darell, Zion & Lennox",91002
2020-01-01,31,Si Te Vas,"Sech, Ozuna",90374
2020-01-01,32,Prendío,Rvfv,88724
2020-01-01,33,Contando Lunares (feat. Cruz Cafuné),Don Patricio,88405
2020-01-01,34,Bellaquita - Remix,"Dalex, Lenny Tavárez, Anitta, Natti Natasha, Farruko, Justin Quiles",85092
2020-01-01,35,Prendio (Remix),"Rvfv, Omar Montes, Daviles de Novelda",84981
2020-01-01,36,Fantasía,Ozuna,84574
2020-01-01,37,Otro Trago - Remix,"Sech, Ozuna, Anuel AA, Darell, Nicky Jam",82112
2020-01-01,38,ROXANNE,Arizona Zervas,81034
2020-01-01,39,No Me Conoce - Remix,"Jhay Cortez, J Balvin, Bad Bunny",80447
2020-01-01,40,Quizas,"Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid, Wisin, Zion",78815
2020-01-01,41,Que Calor (with J Balvin & El Alfa),"Major Lazer, Diplo",77981
2020-01-01,42,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","Justin Quiles, Natti Natasha, Farruko",77602
2020-01-01,43,Goteo,Duki,76059
2020-01-01,44,105 F Remix,"KEVVO, Farruko, Chencho Corleone, Arcangel, Darell, Ñengo Flow, Brytiago, Myke Towers",71618
2020-01-01,45,De Tranquilote,"Danny Romero, Lérica",71444
2020-01-01,46,Tabú,"Pablo Alborán, Ava Max",69673
2020-01-01,47,A Dónde Vamos,Morat,69495
2020-01-01,48,Indios y Vaqueros,"Sinsinati, Álvaro De Luna",67443
2020-01-01,49,Señorita,"Shawn Mendes, Camila Cabello",67005
2020-01-01,50,Qué Bonito Es Querer,Manuel Carrasco,66397
2020-01-01,51,Tutu,"Camilo, Pedro Capó",62452
2020-01-01,52,Que Tire Pa Lante,Daddy Yankee,61798
2020-01-01,53,LA CANCIÓN,"J Balvin, Bad Bunny",61595
2020-01-01,54,Falling,Trevor Daniel,60911
2020-01-01,55,Ella No Quiere Rosé,"Rvfv, Bandaga",60898
2020-01-01,56,Con Calma,"Daddy Yankee, Snow",59523
2020-01-01,57,Memories,Maroon 5,59431
2020-01-01,58,Soltera - Remix,"Lunay, Daddy Yankee, Bad Bunny",58917
2020-01-01,59,Calma - Remix,"Pedro Capó, Farruko",57204
2020-01-01,60,LowKey,Bryant Myers,55567
2020-01-01,61,Hookah,Bad Gyal,54259
2020-01-01,62,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,53601
2020-01-01,63,Infeliz,"Arcangel, Bad Bunny",52519
2020-01-01,64,Presiento,"Morat, Aitana",51667
2020-01-01,65,Baila Conmigo (feat. Kelly Ruiz),"Dayvi, Victor Cardenas, Kelly Ruíz",51294
2020-01-01,66,bad guy,Billie Eilish,51284
2020-01-01,67,Ayy Macarena,Tyga,50977
2020-01-01,68,Gan-Ga - Remix,"Bryant Myers, Anuel AA",50455
2020-01-01,69,Don't Start Now,Dua Lipa,50374
2020-01-01,70,MALA SANTA,Becky G,49118
2020-01-01,71,Me Quedo,"Aitana, Lola Indigo",48454
2020-01-01,72,Bésame,"David Bisbal, Juan Magán",47948
2020-01-01,73,Easy,Jhay Cortez,46932
2020-01-01,74,Diavla,"Chris Viz, Young Vene",46199
2020-01-01,75,Lola Bunny,"Lola Indigo, Don Patricio",46093
2020-01-01,76,No Te Debí Besar,"C. Tangana, Paloma Mami",45070
2020-01-01,77,Me Equivocaré,Antonio José,44009
2020-01-01,78,Sueño (con Pablo Alborán),Beret,43118
2020-01-01,79,Djadja,Aya Nakamura,42806
2020-01-01,80,No Vuelvas Más,Darell,42800
2020-01-01,81,Piensan,"Haze, Myke Towers",41365
2020-01-01,82,A Escondidas,"$kyhook, Morad",41358
2020-01-01,83,Cristina (feat. Shelow Shaq),"Maffio, Justin Quiles, Nacho",41032
2020-01-01,84,Cuerpo en Venta,"Noriel, Myke Towers, Rauw Alejandro, Almighty",40868
2020-01-01,85,Mirándote,Rvfv,39948
2020-01-01,86,Milionària,ROSALÍA,39522
2020-01-01,87,Te Robaré,"Nicky Jam, Ozuna",38979
2020-01-01,88,Qué Pena,"Maluma, J Balvin",38813
2020-01-01,89,15+1,El Greco,38781
2020-01-01,90,Me vas a ver,Beret,38687
2020-01-01,91,Adan y Eva,Paulo Londra,38329
2020-01-01,92,Someone You Loved,Lewis Capaldi,37968
2020-01-01,93,Me llama,Beret,37718
2020-01-01,94,11 PM,Maluma,37407
2020-01-01,95,Si Me Gano Un Grammy,Jon Z,37244
2020-01-01,96,Loco Contigo (feat. J. Balvin & Tyga),"DJ Snake, J Balvin",37059
2020-01-01,97,Apriétala,"Rvfv, Pablo Mas",36856
2020-01-01,98,"Trueno: Bzrp Music Sessions, Vol. 16","Bizarrap, Trueno",36763
2020-01-01,99,I Don't Care (with Justin Bieber),Ed Sheeran,36666
2020-01-01,100,X.O.X.O.,"Pedro Calderon, D' La Crem",36560
2020-01-01,101,Soldadito de Hierro,Nil Moliner,36251
2020-01-01,102,QUE PRETENDES,"J Balvin, Bad Bunny",36087
2020-01-01,103,everything i wanted,Billie Eilish,35939
2020-01-01,104,Con La Miel En Los Labios,Aitana,35897
2020-01-01,105,MALAMENTE - Cap.1: Augurio,ROSALÍA,35851
2020-01-01,106,Lo siento,Beret,35690
2020-01-01,107,Velitas,"Darell, Brytiago",35555
2020-01-01,108,Atrévete,"Nicky Jam, Sech",35284
2020-01-01,109,Circles,Post Malone,35135
2020-01-01,110,C90 (Remix),"John C, Neo Pistea, Bhavi, Trueno",35100
2020-01-01,111,Aguantando,Morad,34984
2020-01-01,112,Enchochado de Ti,Don Patricio,34588
2020-01-01,113,Déjate Querer,"Lalo Ebratt, Sebastian Yatra, Yera, Trapical Minds",34547
2020-01-01,114,DOSIS,"Dvicio, Reik, ChocQuibTown",34314
2020-01-01,115,HP,Maluma,34173
2020-01-01,116,Ella Quiere Beber - Remix,"Anuel AA, Romeo Santos",34035
2020-01-01,117,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)",Dímelo Flow,33999
2020-01-01,118,Disparos,Dani Fernández,33406
2020-01-01,119,Vas A Quedarte,Aitana,33387
2020-01-01,120,Verte Ir,"DJ Luian, Mambo Kingz, Anuel AA, Nicky Jam, Darell, Brytiago",33151
2020-01-01,121,Sin Pijama,"Becky G, Natti Natasha",32841
2020-01-01,122,Coronao Now,"El Alfa, Lil Pump",32735
2020-01-01,123,Un Año,"Sebastian Yatra, Reik",32684
2020-01-01,124,Ellos,Ceky Viciny,32538
2020-01-01,125,Pikete Italiano,KvndySwing,32395
2020-01-01,126,La Playa,Myke Towers,32163
2020-01-01,127,Secreto,"Anuel AA, KAROL G",32136
2020-01-01,128,Cicatrices (feat. Indara),Sergio Contreras,32111
2020-01-01,129,Otro Trago,"Sech, Darell",32101
2020-01-01,130,Mi Error - Remix,"Eladio Carrion, Zion & Lennox, Wisin & Yandel, Lunay",31687
2020-01-01,131,5 Sentidos,"Dvicio, Taburete",31505
2020-01-01,132,No Te Preocupes por Mi,Leiva,31141
2020-01-01,133,Si Se Da - Remix,"Myke Towers, Farruko, Arcangel, Sech, Zion",30872
2020-01-01,134,Kemba Walker,"Eladio Carrion, Bad Bunny",30751
2020-01-01,135,Tal Vez,Paulo Londra,30606
2020-01-01,136,Gan-Ga,Bryant Myers,30584
2020-01-01,137,All I Want for Christmas Is You,Mariah Carey,30357
2020-01-01,138,Pa Mí - Remix,"Dalex, Rafa Pabön, KHEA, Sech, Feid, Cazzu, Lenny Tavárez",30291
2020-01-01,139,Soldadito marinero,Fito y Fitipaldis,30284
2020-01-01,140,Rutina,Myke Towers,30243
2020-01-01,141,Shallow,"Lady Gaga, Bradley Cooper",29971
2020-01-01,142,Piropo,Noriel,29929
2020-01-01,143,La Mentira (feat. Joaquín Sabina),Dani Martín,29788
2020-01-01,144,Baila Baila Baila - Remix,"Ozuna, Daddy Yankee, J Balvin, Farruko, Anuel AA",29780
2020-01-01,145,Música,"DJ Luian, Mambo Kingz, Farruko, Wisin, Myke Towers, Darell, Arcangel",29747
2020-01-01,146,Princesas,Pereza,28856
2020-01-01,147,Fuego,Estopa,28792
2020-01-01,148,Swing,Danny Ocean,28366
2020-01-01,149,Beautiful People (feat. Khalid),Ed Sheeran,28347
2020-01-01,150,Como Camarón,Estopa,28342
2020-01-01,151,Suave - Remix,"Jey Blessing, Rauw Alejandro, Los Fantastikos",28199
2020-01-01,152,CANGURO,WOS,28167
2020-01-01,153,Cuaderno,"Dalex, Nicky Jam, Justin Quiles, Sech, Lenny Tavárez, Feid, Rafa Pabön",28139
2020-01-01,154,Como Si Fueras a Morir Mañana,Leiva,28100
2020-01-01,155,Mi gran noche,Raphael,28097
2020-01-01,156,Como el Agua - Remix,"Ana Mena, Omar Montes",28069
2020-01-01,157,Contra La Pared,"Sean Paul, J Balvin",28043
2020-01-01,158,Desde cero (con Melendi),Beret,28034
2020-01-01,159,Baila Baila Baila,Ozuna,27647
2020-01-01,160,Mujer Bruja,"Lola Indigo, Mala Rodríguez",27625
2020-01-01,161,Amanece,"Anuel AA, Haze",27395
2020-01-01,162,Bonita,"Juanes, Sebastian Yatra",27389
2020-01-01,163,Santa María (Feat. Busy Signal),Bad Gyal,27201
2020-01-01,164,Lalala,"Y2K, bbno$",27023
2020-01-01,165,No Te Veo - Remix,"Casper Magico, Anuel AA",26980
2020-01-01,166,"Loco Contigo (with J. Balvin & Ozuna feat. Nicky Jam, Natti Natasha, Darell & Sech) - REMIX","DJ Snake, J Balvin",26958
2020-01-01,167,Bohemian Rhapsody - Remastered 2011,Queen,26475
2020-01-01,168,Cuando Nadie Ve,Morat,26468
2020-01-01,169,Date La Vuelta,"Luis Fonsi, Sebastian Yatra, Nicky Jam",26467
2020-01-01,170,Old Town Road - Remix,"Lil Nas X, Billy Ray Cyrus",26215
2020-01-01,171,Sessions 6,Lion Music,26151
2020-01-01,172,Cuando zarpa el amor (feat. Juan Magán),Camela,26133
2020-01-01,173,Ride It,Regard,26025
2020-01-01,174,HIGHEST IN THE ROOM,Travis Scott,25790
2020-01-01,175,Mi Persona Favorita,"Alejandro Sanz, Camila Cabello",25781
2020-01-01,176,Cristina,Sebastian Yatra,25617
2020-01-01,177,Boomshakalaka,"Dimitri Vegas & Like Mike, Afro Bros, Sebastian Yatra, Camilo, Emilia",25604
2020-01-01,178,¿Qué Ha Pasao'?,"Abraham Mateo, Sofía Reyes",25406
2020-01-01,179,Blinding Lights,The Weeknd,25343
2020-01-01,180,El Efecto - Remix,"Rauw Alejandro, Chencho Corleone, KEVVO, Bryant Myers, Lyanno, Dalex",25289
2020-01-01,181,Lose You To Love Me,Selena Gomez,25096
2020-01-01,182,Antes de Morirme (feat. Rosalía),"C. Tangana, ROSALÍA",25057
2020-01-01,183,Te esperaré toda la vida,Dani Fernández,24995
2020-01-01,184,Me Rehúso,Danny Ocean,24924
2020-01-01,185,Despacito,"Luis Fonsi, Daddy Yankee",24712
2020-01-01,186,24H,Kidd Keo,24687
2020-01-01,187,Te Soñé de Nuevo,Ozuna,24571
2020-01-01,188,Lucid Dreams,Juice WRLD,24515
2020-01-01,189,How Do You Sleep?,Sam Smith,24503
2020-01-01,190,Cicatrices,Natos y Waor,24355
2020-01-01,191,Vaina Loca,"Ozuna, Manuel Turizo",24255
2020-01-01,192,My Oh My (feat. DaBaby),Camila Cabello,24030
2020-01-01,193,Patek,"Ozuna, Anuel AA, Snoop Dogg",23936
2020-01-01,194,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,23801
2020-01-01,195,Que Mas Pues - Remix,"Sech, Justin Quiles, Maluma, Nicky Jam, Farruko, Dalex, Lenny Tavárez",23668
2020-01-01,196,DOLLAR,"Becky G, Myke Towers",23652
2020-01-01,197,Si Se Da,"Myke Towers, Farruko",23622
2020-01-01,198,NI BIEN NI MAL,Bad Bunny,23611
2020-01-01,199,Rebota - Remix,"Guaynaa, Nicky Jam, Farruko, Becky G, Sech",23606
2020-01-01,200,Déjala Que Baile (with Alejandro Sanz & Arkano),Melendi,23509
2020-01-02,1,Tusa,"KAROL G, Nicki Minaj",436442
2020-01-02,2,Alocao (With Bad Gyal),Omar Montes,293141
2020-01-02,3,Dance Monkey,Tones And I,282046
2020-01-02,4,+,"Aitana, Cali Y El Dandee",260490
2020-01-02,5,Zorra,Bad Gyal,232040
2020-01-02,6,Vete,Bad Bunny,230219
2020-01-02,7,Indeciso,"Reik, J Balvin, Lalo Ebratt",228606
2020-01-02,8,China,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",218740
2020-01-02,9,Blanco,J Balvin,217212
2020-01-02,10,RITMO (Bad Boys For Life),"Black Eyed Peas, J Balvin",216743
2020-01-02,11,Whine Up,"Nicky Jam, Anuel AA",214704
2020-01-02,12,Si por mi fuera,Beret,198061
2020-01-02,13,Hola - Remix,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",191086
2020-01-02,14,Aventura,"Lunay, Ozuna, Anuel AA",189797
2020-01-02,15,Easy - Remix,"Jhay Cortez, Ozuna",179398
2020-01-02,16,Fantasias,"Rauw Alejandro, Farruko",174516
2020-01-02,17,Se iluminaba,"Fred De Palma, Ana Mena",157339
2020-01-02,18,Rueda,Chimbala,155931
2020-01-02,19,Adicto (with Anuel AA & Ozuna),Tainy,149697
2020-01-02,20,"Yo x Ti, Tu x Mi","ROSALÍA, Ozuna",139888
2020-01-02,21,Sigues Con El,"Dímelo Flow, Arcangel, Sech",139264
2020-01-02,22,Hasta Que Salga el Sol,Ozuna,138507
2020-01-02,23,Fuera De Mi Mente,"Lérica, Juan Magán",134950
2020-01-02,24,Perreo en La Luna,"Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid",132564
2020-01-02,25,Te Quemaste,"Manuel Turizo, Anuel AA",130947
2020-01-02,26,La Rubia - Remix 2,"La Nueva Escuela, Omar Montes",127353
2020-01-02,27,La Cama,"Lunay, Myke Towers",122611
2020-01-02,28,Si Te Vas,"Sech, Ozuna",121423
2020-01-02,29,B11 (feat. Myke Towers),"Rvssian, Darell, Zion & Lennox",119937
2020-01-02,30,Bellaquita - Remix,"Dalex, Lenny Tavárez, Anitta, Natti Natasha, Farruko, Justin Quiles",115123
2020-01-02,31,Tabú,"Pablo Alborán, Ava Max",114495
2020-01-02,32,A Dónde Vamos,Morat,114073
2020-01-02,33,Prendío,Rvfv,111850
2020-01-02,34,Fantasía,Ozuna,110044
2020-01-02,35,ROXANNE,Arizona Zervas,109533
2020-01-02,36,Indios y Vaqueros,"Sinsinati, Álvaro De Luna",107726
2020-01-02,37,Prendio (Remix),"Rvfv, Omar Montes, Daviles de Novelda",106782
2020-01-02,38,Qué Bonito Es Querer,Manuel Carrasco,106581
2020-01-02,39,Quizas,"Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid, Wisin, Zion",105171
2020-01-02,40,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","Justin Quiles, Natti Natasha, Farruko",104656
2020-01-02,41,Callaita,"Bad Bunny, Tainy",102860
2020-01-02,42,Contando Lunares (feat. Cruz Cafuné),Don Patricio,102086
2020-01-02,43,De Tranquilote,"Danny Romero, Lérica",101636
2020-01-02,44,Señorita,"Shawn Mendes, Camila Cabello",99170
2020-01-02,45,Otro Trago - Remix,"Sech, Ozuna, Anuel AA, Darell, Nicky Jam",97651
2020-01-02,46,No Me Conoce - Remix,"Jhay Cortez, J Balvin, Bad Bunny",97171
2020-01-02,47,Memories,Maroon 5,94743
2020-01-02,48,Que Calor (with J Balvin & El Alfa),"Major Lazer, Diplo",92993
2020-01-02,49,Con Altura,"ROSALÍA, J Balvin, El Guincho",91852
2020-01-02,50,105 F Remix,"KEVVO, Farruko, Chencho Corleone, Arcangel, Darell, Ñengo Flow, Brytiago, Myke Towers",91402
2020-01-02,51,Goteo,Duki,90288
2020-01-02,52,Presiento,"Morat, Aitana",85372
2020-01-02,53,Falling,Trevor Daniel,84558
2020-01-02,54,Tutu,"Camilo, Pedro Capó",82531
2020-01-02,55,Don't Start Now,Dua Lipa,82194
2020-01-02,56,Ella No Quiere Rosé,"Rvfv, Bandaga",79394
2020-01-02,57,LA CANCIÓN,"J Balvin, Bad Bunny",77760
2020-01-02,58,Me Equivocaré,Antonio José,77318
2020-01-02,59,Que Tire Pa Lante,Daddy Yankee,75232
2020-01-02,60,Infeliz,"Arcangel, Bad Bunny",73911
2020-01-02,61,Sueño (con Pablo Alborán),Beret,73133
2020-01-02,62,LowKey,Bryant Myers,72121
2020-01-02,63,Hookah,Bad Gyal,70218
2020-01-02,64,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,69897
2020-01-02,65,Me vas a ver,Beret,68808
2020-01-02,66,Disparos,Dani Fernández,67994
2020-01-02,67,bad guy,Billie Eilish,67734
2020-01-02,68,Soltera - Remix,"Lunay, Daddy Yankee, Bad Bunny",65461
2020-01-02,69,Me Quedo,"Aitana, Lola Indigo",65211
2020-01-02,70,No Te Debí Besar,"C. Tangana, Paloma Mami",64075
2020-01-02,71,Soldadito de Hierro,Nil Moliner,63993
2020-01-02,72,Me llama,Beret,63450
2020-01-02,73,Someone You Loved,Lewis Capaldi,63444
2020-01-02,74,MALA SANTA,Becky G,62564
2020-01-02,75,Con Calma,"Daddy Yankee, Snow",62222
2020-01-02,76,Con La Miel En Los Labios,Aitana,61195
2020-01-02,77,Gan-Ga - Remix,"Bryant Myers, Anuel AA",60913
2020-01-02,78,Calma - Remix,"Pedro Capó, Farruko",60797
2020-01-02,79,everything i wanted,Billie Eilish,60751
2020-01-02,80,DOSIS,"Dvicio, Reik, ChocQuibTown",60503
2020-01-02,81,Bésame,"David Bisbal, Juan Magán",59811
2020-01-02,82,No Vuelvas Más,Darell,58667
2020-01-02,83,I Don't Care (with Justin Bieber),Ed Sheeran,58460
2020-01-02,84,Circles,Post Malone,58419
2020-01-02,85,Djadja,Aya Nakamura,58331
2020-01-02,86,Piensan,"Haze, Myke Towers",56926
2020-01-02,87,Easy,Jhay Cortez,55988
2020-01-02,88,Déjate Querer,"Lalo Ebratt, Sebastian Yatra, Yera, Trapical Minds",55340
2020-01-02,89,Ayy Macarena,Tyga,54833
2020-01-02,90,Cuerpo en Venta,"Noriel, Myke Towers, Rauw Alejandro, Almighty",54806
2020-01-02,91,A Escondidas,"$kyhook, Morad",54719
2020-01-02,92,Lo siento,Beret,54512
2020-01-02,93,Lola Bunny,"Lola Indigo, Don Patricio",54283
2020-01-02,94,Diavla,"Chris Viz, Young Vene",53075
2020-01-02,95,15+1,El Greco,52612
2020-01-02,96,Vas A Quedarte,Aitana,52369
2020-01-02,97,No Te Preocupes por Mi,Leiva,52231
2020-01-02,98,Como Si Fueras a Morir Mañana,Leiva,49714
2020-01-02,99,Atrévete,"Nicky Jam, Sech",49322
2020-01-02,100,La Mentira (feat. Joaquín Sabina),Dani Martín,49295
2020-01-02,101,Qué Pena,"Maluma, J Balvin",48818
2020-01-02,102,Lose You To Love Me,Selena Gomez,48645
2020-01-02,103,Desde cero (con Melendi),Beret,48529
2020-01-02,104,Te esperaré toda la vida,Dani Fernández,48363
2020-01-02,105,Enchochado de Ti,Don Patricio,48351
2020-01-02,106,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)",Dímelo Flow,48050
2020-01-02,107,X.O.X.O.,"Pedro Calderon, D' La Crem",48008
2020-01-02,108,Apriétala,"Rvfv, Pablo Mas",47923
2020-01-02,109,5 Sentidos,"Dvicio, Taburete",47564
2020-01-02,110,Beautiful People (feat. Khalid),Ed Sheeran,47453
2020-01-02,111,11 PM,Maluma,46947
2020-01-02,112,Adan y Eva,Paulo Londra,46885
2020-01-02,113,Un Año,"Sebastian Yatra, Reik",46851
2020-01-02,114,Velitas,"Darell, Brytiago",46680
2020-01-02,115,Shallow,"Lady Gaga, Bradley Cooper",46422
2020-01-02,116,Te Robaré,"Nicky Jam, Ozuna",46353
2020-01-02,117,Mirándote,Rvfv,44810
2020-01-02,118,Mi Error - Remix,"Eladio Carrion, Zion & Lennox, Wisin & Yandel, Lunay",44581
2020-01-02,119,Loco Contigo (feat. J. Balvin & Tyga),"DJ Snake, J Balvin",44378
2020-01-02,120,Bonita,"Juanes, Sebastian Yatra",44371
2020-01-02,121,"Trueno: Bzrp Music Sessions, Vol. 16","Bizarrap, Trueno",44364
2020-01-02,122,Fuego,Estopa,44346
2020-01-02,123,How Do You Sleep?,Sam Smith,44140
2020-01-02,124,Si Me Gano Un Grammy,Jon Z,44015
2020-01-02,125,Aguantando,Morad,43918
2020-01-02,126,Cristina,Sebastian Yatra,43819
2020-01-02,127,Baila Conmigo (feat. Kelly Ruiz),"Dayvi, Victor Cardenas, Kelly Ruíz",43525
2020-01-02,128,¿Qué Ha Pasao'?,"Abraham Mateo, Sofía Reyes",43473
2020-01-02,129,Pikete Italiano,KvndySwing,43409
2020-01-02,130,QUE PRETENDES,"J Balvin, Bad Bunny",43262
2020-01-02,131,Rutina,Myke Towers,43025
2020-01-02,132,Blinding Lights,The Weeknd,42878
2020-01-02,133,Mi Persona Favorita,"Alejandro Sanz, Camila Cabello",42412
2020-01-02,134,Enamórate De Alguien Más,Morat,42084
2020-01-02,135,Soldadito marinero,Fito y Fitipaldis,42081
2020-01-02,136,Milionària,ROSALÍA,41378
2020-01-02,137,Cuando Nadie Ve,Morat,41309
2020-01-02,138,Superpoderes,Leiva,41305
2020-01-02,139,C90 (Remix),"John C, Neo Pistea, Bhavi, Trueno",40990
2020-01-02,140,Verte Ir,"DJ Luian, Mambo Kingz, Anuel AA, Nicky Jam, Darell, Brytiago",40376
2020-01-02,141,Música,"DJ Luian, Mambo Kingz, Farruko, Wisin, Myke Towers, Darell, Arcangel",40310
2020-01-02,142,Cicatrices (feat. Indara),Sergio Contreras,40265
2020-01-02,143,"Loco Contigo (with J. Balvin & Ozuna feat. Nicky Jam, Natti Natasha, Darell & Sech) - REMIX","DJ Snake, J Balvin",39634
2020-01-02,144,Ella Quiere Beber - Remix,"Anuel AA, Romeo Santos",39604
2020-01-02,145,Otro Trago,"Sech, Darell",39460
2020-01-02,146,Kemba Walker,"Eladio Carrion, Bad Bunny",39381
2020-01-02,147,Pa Mí - Remix,"Dalex, Rafa Pabön, KHEA, Sech, Feid, Cazzu, Lenny Tavárez",39032
2020-01-02,148,Cristina (feat. Shelow Shaq),"Maffio, Justin Quiles, Nacho",38997
2020-01-02,149,La Playa,Myke Towers,38976
2020-01-02,150,Si Se Da - Remix,"Myke Towers, Farruko, Arcangel, Sech, Zion",38907
2020-01-02,151,nana triste,"Natalia Lacunza, Guitarricadelafuente",38629
2020-01-02,152,HP,Maluma,38613
2020-01-02,153,Tal Vez,Paulo Londra,38409
2020-01-02,154,Suave - Remix,"Jey Blessing, Rauw Alejandro, Los Fantastikos",38188
2020-01-02,155,Piropo,Noriel,38057
2020-01-02,156,Como el Agua - Remix,"Ana Mena, Omar Montes",37703
2020-01-02,157,Te echo de menos,Beret,37646
2020-01-02,158,"Quiero, Quiero y Quiero",Arnau Griso,37537
2020-01-02,159,Ride It,Regard,37414
2020-01-02,160,Swing,Danny Ocean,37297
2020-01-02,161,Tequila y Candela,Marlon,37244
2020-01-02,162,Si te vas,Blas Cantó,37207
2020-01-02,163,Cuaderno,"Dalex, Nicky Jam, Justin Quiles, Sech, Lenny Tavárez, Feid, Rafa Pabön",36735
2020-01-02,164,Cicatrices,Natos y Waor,36631
2020-01-02,165,MALAMENTE - Cap.1: Augurio,ROSALÍA,36560
2020-01-02,166,My Oh My (feat. DaBaby),Camila Cabello,36533
2020-01-02,167,Gan-Ga,Bryant Myers,36422
2020-01-02,168,HIGHEST IN THE ROOM,Travis Scott,36207
2020-01-02,169,Secreto,"Anuel AA, KAROL G",36029
2020-01-02,170,Princesas,Pereza,36008
2020-01-02,171,Nada Sale Mal,Aitana,35845
2020-01-02,172,Déjame Ser,Manuel Carrasco,35707
2020-01-02,173,Coronao Now,"El Alfa, Lil Pump",35430
2020-01-02,174,Old Town Road - Remix,"Lil Nas X, Billy Ray Cyrus",35344
2020-01-02,175,Ellos,Ceky Viciny,35325
2020-01-02,176,Besos En Guerra,"Morat, Juanes",35137
2020-01-02,177,Qué Tienes Tú (feat. Jesús de Reik & Mau y Ricky),"Dvicio, Jesús Reik",35130
2020-01-02,178,Boomshakalaka,"Dimitri Vegas & Like Mike, Afro Bros, Sebastian Yatra, Camilo, Emilia",35054
2020-01-02,179,CANGURO,WOS,34816
2020-01-02,180,Un Planeta Llamado Nosotros,Maldita Nerea,34655
2020-01-02,181,Adore You,Harry Styles,34514
2020-01-02,182,Mejores Amigos,"Yera, Morat",34455
2020-01-02,183,Lucid Dreams,Juice WRLD,34230
2020-01-02,184,Me mata,Beret,34226
2020-01-02,185,El Efecto - Remix,"Rauw Alejandro, Chencho Corleone, KEVVO, Bryant Myers, Lyanno, Dalex",33715
2020-01-02,186,Runaway,"Sebastian Yatra, Daddy Yankee, Natti Natasha, Jonas Brothers",33712
2020-01-02,187,Sobrenatural,"Juan Magán, Alvaro Soler, Marielle Hazlo",33649
2020-01-02,188,LA LATINA,Rels B,33517
2020-01-02,189,SIN MIRAR LAS SEÑALES,Rels B,33485
2020-01-02,190,Contra La Pared,"Sean Paul, J Balvin",33470
2020-01-02,191,Déjala Que Baile (with Alejandro Sanz & Arkano),Melendi,33407
2020-01-02,192,Oye,"TINI, Sebastian Yatra",33361
2020-01-02,193,24H,Kidd Keo,33227
