,Track,Artists,id,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Artists_1,Artists_2,Artists_3,genres_1,genres_2,genres_3
0,Tusa,"['KAROL G', 'Nicki Minaj']",7k4t7uLgtOxPwTpFmtJNTY,"['reggaeton', 'rap', 'latin']",0.803,0.715,2,-3.28,1,0.298,0.295,0.000134,0.0574,0.574,101.085,KAROL G,Nicki Minaj,,reggaeton,rap,latin
1,Alocao (With Bad Gyal),['Omar Montes'],6RyuoOJXNzlVWpfC5xQyeI,"['urban', 'rap']",0.673,0.752,11,-4.705,0,0.0567,0.214,1.53e-06,0.106,0.699,178.005,Omar Montes,,,urban,rap,
2,Dance Monkey,['Tones And I'],2XU0oxnq2qxCpomAAuJY8K,['pop'],0.824,0.588,6,-6.4,0,0.0924,0.692,0.000104,0.149,0.513,98.027,Tones And I,,,pop,,
3,China,"['Anuel AA', 'Daddy Yankee', 'KAROL G', 'J Balvin', 'Ozuna']",2ksOAxtIxY8yElEWw8RhgK,"['reggaeton', 'rap', 'latin']",0.786,0.808,7,-3.702,1,0.0882,0.0846,0.000289,0.0822,0.609,105.027,Anuel AA,Daddy Yankee,KAROL G,reggaeton,rap,latin
4,RITMO (Bad Boys For Life),"['Black Eyed Peas', 'J Balvin']",6cy3ki60hLwimwIje7tALf,"['pop', 'rap']",0.721,0.716,10,-7.037,0,0.0657,0.0334,0.00084,0.237,0.667,104.994,Black Eyed Peas,J Balvin,,pop,rap,
5,Indeciso,"['Reik', 'J Balvin', 'Lalo Ebratt']",59s0s39NFWScuHDbHytI14,"['pop', 'latin']",0.738,0.748,0,-4.902,1,0.0453,0.182,0.0,0.11,0.896,94.949,Reik,J Balvin,Lalo Ebratt,pop,latin,
6,Vete,['Bad Bunny'],5DxXgozhkPLgrbKFY91w0c,"['reggaeton', 'rap', 'latin']",0.886,0.672,1,-4.394,1,0.188,0.0363,8.78e-06,0.101,0.526,91.976,Bad Bunny,,,reggaeton,rap,latin
7,Zorra,['Bad Gyal'],0OP1RzrglC008kj79Httv3,"['rap', 'urban']",0.637,0.65,11,-6.646,1,0.185,0.682,2.2e-06,0.0786,0.736,176.075,Bad Gyal,,,rap,urban,
8,Whine Up,"['Nicky Jam', 'Anuel AA']",2pWOMNQJW3g2zmGjP0Vkb0,"['reggaeton', 'hip hop', 'rap', 'latin']",0.817,0.665,9,-6.224,0,0.0758,0.0549,0.0,0.103,0.662,104.957,Nicky Jam,Anuel AA,,reggaeton,hip hop,rap
9,Blanco,['J Balvin'],2rc7BkzO8qepMFAxHtOrXc,"['reggaeton', 'rap', 'latin']",0.87,0.706,9,-5.395,0,0.126,0.0253,0.0063,0.0872,0.593,100.013,J Balvin,,,reggaeton,rap,latin
10,+,"['Aitana', 'Cali Y El Dandee']",5Cbo7oz78gqkzV3EAM63VA,"['pop', 'latin']",0.561,0.666,8,-4.243,1,0.0322,0.106,0.0,0.123,0.675,160.019,Aitana,Cali Y El Dandee,,pop,latin,
11,Aventura,"['Lunay', 'Ozuna', 'Anuel AA']",37zdqI4r1gswIzczSBkRon,"['reggaeton', 'pop', 'rap', 'latin']",0.729,0.726,5,-3.208,1,0.0422,0.223,0.0,0.101,0.876,92.025,Lunay,Ozuna,Anuel AA,reggaeton,pop,rap
12,Hola - Remix,"['Dalex', 'Lenny Tavárez', 'Chencho Corleone', 'Juhn', 'Dímelo Flow']",5stPVcRqb4qixbafP9e8lt,"['r&b', 'reggaeton', 'rap', 'latin']",0.654,0.672,0,-5.98,0,0.311,0.471,0.0,0.0781,0.343,181.857,Dalex,Lenny Tavárez,Chencho Corleone,r&b,reggaeton,rap
13,Easy - Remix,"['Jhay Cortez', 'Ozuna']",6W1v0i3t1zSFnGqh90lepg,"['reggaeton', 'rap', 'latin']",0.891,0.748,1,-3.844,0,0.0976,0.186,2.06e-06,0.133,0.401,94.06,Jhay Cortez,Ozuna,,reggaeton,rap,latin
14,Fantasias,"['Rauw Alejandro', 'Farruko']",6mAN61JH0dzyZpWslS11jy,"['pop', 'rap']",0.879,0.703,1,-4.219,1,0.0701,0.143,0.0,0.0569,0.788,94.004,Rauw Alejandro,Farruko,,pop,rap,
15,Rueda,['Chimbala'],4NDHYPVJ5zLnR8yYZsMDsu,"['pop', 'rap', 'dembow']",0.888,0.916,9,-2.196,1,0.0922,0.165,4.36e-06,0.0519,0.96,130.04,Chimbala,,,pop,rap,dembow
16,Si por mi fuera,['Beret'],3W87IIdSOE63W0Qyhy7r2b,"['hip hop', 'pop']",0.701,0.75,2,-5.717,1,0.0316,0.0271,0.0,0.102,0.876,150.078,Beret,,,hip hop,pop,
17,"Yo x Ti, Tu x Mi","['ROSALÍA', 'Ozuna']",7BlBVFwvbWvcwNcUarQmjk,['r&b'],0.78,0.759,1,-3.292,1,0.225,0.462,0.000868,0.143,0.579,91.952,ROSALÍA,Ozuna,,r&b,,
18,Adicto (with Anuel AA & Ozuna),['Tainy'],3jbT1Y5MoPwEIpZndDDwVq,"['rap', 'reggaeton', 'pop', 'hip hop', 'latin']",0.734,0.836,10,-4.803,0,0.0735,0.017,1.64e-05,0.179,0.623,80.002,Tainy,,,rap,reggaeton,pop
19,La Rubia - Remix 2,"['La Nueva Escuela', 'Omar Montes']",7KKTnv81z6DmfPIGsZWjOW,"['pop', 'dembow']",0.759,0.717,7,-4.194,1,0.133,0.319,6.57e-06,0.378,0.761,109.888,La Nueva Escuela,Omar Montes,,pop,dembow,
20,Hasta Que Salga el Sol,['Ozuna'],0dDboLfmRNsTBscy4j3Rnl,"['reggaeton', 'pop', 'rap', 'latin']",0.826,0.816,1,-4.608,0,0.0683,0.0201,0.000939,0.127,0.598,96.042,Ozuna,,,reggaeton,pop,rap
21,Se iluminaba,"['Fred De Palma', 'Ana Mena']",3VPOZWtj8mM89IiRNygxgS,['pop'],0.791,0.693,0,-4.98,0,0.0639,0.0811,0.0,0.0708,0.624,123.923,Fred De Palma,Ana Mena,,pop,,
22,Te Quemaste,"['Manuel Turizo', 'Anuel AA']",4fj7e6Tc48Bmomwyz2Z2XC,"['reggaeton', 'pop', 'rap', 'latin']",0.729,0.773,0,-2.486,1,0.131,0.611,0.00106,0.287,0.718,176.053,Manuel Turizo,Anuel AA,,reggaeton,pop,rap
23,Sigues Con El,"['Dímelo Flow', 'Arcangel', 'Sech']",7sQKy5vlPQllr0k9IjYJv3,"['reggaeton', 'rap', 'latin']",0.883,0.668,9,-2.957,1,0.113,0.11,0.000529,0.0734,0.676,87.972,Dímelo Flow,Arcangel,Sech,reggaeton,rap,latin
24,Perreo en La Luna,"['Rich Music LTD', 'Sech', 'Dalex', 'Justin Quiles', 'Lenny Tavárez', 'Feid']",0RDgqtvOHLwcI6yz9bjsZV,"['reggaeton', 'rap', 'latin']",0.711,0.757,1,-4.188,0,0.29,0.268,0.0,0.367,0.724,174.013,Rich Music LTD,Sech,Dalex,reggaeton,rap,latin
25,Fuera De Mi Mente,"['Lérica', 'Juan Magán']",7bsqRe39lKOYX45FZpzP9o,['pop'],0.741,0.94,1,-2.068,1,0.101,0.169,0.0,0.0542,0.702,93.994,Lérica,Juan Magán,,pop,,
26,Callaita,"['Bad Bunny', 'Tainy']",2TH65lNHgvLxCKXM3apjxI,"['reggaeton', 'rap', 'latin']",0.61,0.624,2,-4.773,1,0.309,0.6,2.12e-06,0.243,0.244,176.169,Bad Bunny,Tainy,,reggaeton,rap,latin
27,Con Altura,"['ROSALÍA', 'J Balvin', 'El Guincho']",2qG5sZ7Si6sdK74qLxedYM,['r&b'],0.882,0.689,6,-4.027,1,0.124,0.39,0.00325,0.0501,0.746,97.963,ROSALÍA,J Balvin,El Guincho,r&b,,
28,La Cama,"['Lunay', 'Myke Towers']",0OoqRZXnSrgIUAha3iLKG1,"['reggaeton', 'pop', 'rap', 'latin']",0.7,0.904,2,-2.826,0,0.0568,0.2,0.000471,0.182,0.816,173.973,Lunay,Myke Towers,,reggaeton,pop,rap
29,B11 (feat. Myke Towers),"['Rvssian', 'Darell', 'Zion & Lennox']",4o1DxRjMCHDwBiOKv88rOl,"['reggaeton', 'hip hop', 'rap', 'latin']",0.759,0.717,0,-5.014,1,0.115,0.0672,0.000455,0.131,0.195,99.946,Rvssian,Darell,Zion & Lennox,reggaeton,hip hop,rap
30,Si Te Vas,"['Sech', 'Ozuna']",6Y4PDQv4XjYjHLeLmvyOt0,"['reggaeton', 'pop', 'rap', 'latin']",0.73,0.644,0,-4.124,1,0.132,0.0933,4.56e-06,0.143,0.554,174.101,Sech,Ozuna,,reggaeton,pop,rap
31,Prendío,['Rvfv'],1pUq8PePQRODKRKwY2nvC8,"['urban', 'rap']",0.83,0.544,11,-9.784,0,0.0869,0.168,1.33e-05,0.132,0.896,124.974,Rvfv,,,urban,rap,
32,Contando Lunares (feat. Cruz Cafuné),['Don Patricio'],6uW0PIRcyZLvkoonm763xD,"['rap', 'urban']",0.856,0.523,4,-10.481,0,0.131,0.442,0.0,0.0537,0.709,105.935,Don Patricio,,,rap,urban,
33,Bellaquita - Remix,"['Dalex', 'Lenny Tavárez', 'Anitta', 'Natti Natasha', 'Farruko', 'Justin Quiles']",1Xnn1TPyr5h0hpRAT4B4EA,"['r&b', 'reggaeton', 'rap', 'latin']",0.795,0.715,1,-3.582,1,0.0838,0.141,2.12e-06,0.179,0.758,165.941,Dalex,Lenny Tavárez,Anitta,r&b,reggaeton,rap
34,Prendio (Remix),"['Rvfv', 'Omar Montes', 'Daviles de Novelda']",17VsiwLi1ovKYdVUqDieGC,"['urban', 'rap']",0.748,0.764,4,-5.677,0,0.0615,0.19,0.0,0.0816,0.754,125.065,Rvfv,Omar Montes,Daviles de Novelda,urban,rap,
35,Fantasía,['Ozuna'],40rXWke6SnXiGkSmaT8ZUr,"['reggaeton', 'pop', 'rap', 'latin']",0.695,0.719,2,-5.938,1,0.0903,0.227,0.000171,0.0884,0.781,180.074,Ozuna,,,reggaeton,pop,rap
36,Otro Trago - Remix,"['Sech', 'Ozuna', 'Anuel AA', 'Darell', 'Nicky Jam']",4bTZeO72FwMa6wKOiqoynL,"['reggaeton', 'pop', 'rap', 'latin']",0.725,0.79,0,-2.331,1,0.197,0.0711,1.14e-06,0.0602,0.763,175.988,Sech,Ozuna,Anuel AA,reggaeton,pop,rap
37,ROXANNE,['Arizona Zervas'],696DnlkuDOXcMAnKlTgXXK,['rap'],0.621,0.601,6,-5.616,0,0.148,0.0522,0.0,0.46,0.457,116.735,Arizona Zervas,,,rap,,
38,No Me Conoce - Remix,"['Jhay Cortez', 'J Balvin', 'Bad Bunny']",6STUmkcOqJ6MoWHefrEfB9,"['reggaeton', 'rap', 'latin']",0.804,0.786,10,-3.837,0,0.0735,0.144,0.0,0.0928,0.575,91.992,Jhay Cortez,J Balvin,Bad Bunny,reggaeton,rap,latin
39,Quizas,"['Rich Music LTD', 'Sech', 'Dalex', 'Justin Quiles', 'Lenny Tavárez', 'Feid', 'Wisin', 'Zion']",5Id5B3dxJZhPcV9GzgYZZe,"['reggaeton', 'rap', 'latin']",0.727,0.815,3,-2.454,1,0.153,0.0258,0.0,0.231,0.677,176.075,Rich Music LTD,Sech,Dalex,reggaeton,rap,latin
40,Que Calor (with J Balvin & El Alfa),"['Major Lazer', 'Diplo']",7j7q6tCfEIlTeZtGjuBDT6,"['rap', 'pop', 'edm', 'moombahton', 'house']",0.795,0.885,8,-4.13,1,0.0713,0.0375,0.00638,0.292,0.46,126.037,Major Lazer,Diplo,,rap,pop,edm
41,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","['Justin Quiles', 'Natti Natasha', 'Farruko']",1ndyl3wJCFs872XZ3ztPk6,"['reggaeton', 'rap', 'latin']",0.743,0.709,3,-3.922,0,0.0879,0.0451,5.18e-06,0.0809,0.831,170.001,Justin Quiles,Natti Natasha,Farruko,reggaeton,rap,latin
42,Goteo,['Duki'],57kdZIOAaolxAjB67d2yU3,"['hip hop', 'rap']",0.473,0.779,1,-3.725,1,0.0414,0.186,0.0,0.189,0.438,108.287,Duki,,,hip hop,rap,
43,105 F Remix,"['KEVVO', 'Farruko', 'Chencho Corleone', 'Arcangel', 'Darell', 'Ñengo Flow', 'Brytiago', 'Myke Towers']",1aUGxXCz9QimNkKeiJtzZ7,"['reggaeton', 'rap']",0.9,0.754,5,-7.016,0,0.156,0.368,2.74e-06,0.286,0.741,100.045,KEVVO,Farruko,Chencho Corleone,reggaeton,rap,
44,De Tranquilote,"['Danny Romero', 'Lérica']",1IDFcb3cjkj2dhv3UaxX9b,"['pop', 'electro', 'latin']",0.682,0.669,2,-7.15,1,0.0951,0.105,0.0,0.071,0.889,79.929,Danny Romero,Lérica,,pop,electro,latin
45,Tabú,"['Pablo Alborán', 'Ava Max']",471HeGJPKw07MObixON0Um,"['pop', 'latin']",0.748,0.808,9,-5.943,0,0.0619,0.0366,3.66e-05,0.11,0.553,99.997,Pablo Alborán,Ava Max,,pop,latin,
46,A Dónde Vamos,['Morat'],671sG3ETDxC3L6qcGIrHRM,"['pop', 'latin']",0.627,0.608,0,-12.914,1,0.0364,0.00677,0.0,0.233,0.955,149.029,Morat,,,pop,latin,
47,Indios y Vaqueros,"['Sinsinati', 'Álvaro De Luna']",3u5GmyJP2MU3tEJgyiAG2T,['pop'],0.606,0.797,8,-6.23,1,0.0702,0.0607,0.0,0.366,0.851,100.015,Sinsinati,Álvaro De Luna,,pop,,
48,Señorita,"['Shawn Mendes', 'Camila Cabello']",0TK2YIli7K1leLovkQiNik,['pop'],0.759,0.54,9,-6.039,0,0.0287,0.037,0.0,0.0945,0.75,116.947,Shawn Mendes,Camila Cabello,,pop,,
49,Qué Bonito Es Querer,['Manuel Carrasco'],1mD4fgpE4BqrJn1udv3jVr,"['carnaval cadiz', 'pop', 'flamenco']",0.609,0.717,11,-7.177,1,0.045,0.6,0.0,0.082,0.425,93.941,Manuel Carrasco,,,carnaval cadiz,pop,flamenco
50,Tutu,"['Camilo', 'Pedro Capó']",1nocRtwyNPVtGcIJqfgdzZ,"['reggaeton', 'pop']",0.731,0.832,9,-2.592,1,0.0503,0.273,0.0,0.0665,0.94,146.013,Camilo,Pedro Capó,,reggaeton,pop,
51,Que Tire Pa Lante,['Daddy Yankee'],2G4dkt0aaiLbYkbQmiOmDF,"['reggaeton', 'hip hop', 'rap', 'latin']",0.659,0.901,7,-2.814,1,0.0358,0.0478,0.0,0.148,0.704,93.979,Daddy Yankee,,,reggaeton,hip hop,rap
52,LA CANCIÓN,"['J Balvin', 'Bad Bunny']",0fea68AdmYNygeTGI4RC18,"['reggaeton', 'rap', 'latin']",0.754,0.646,7,-5.795,1,0.317,0.152,1.85e-05,0.108,0.429,176.089,J Balvin,Bad Bunny,,reggaeton,rap,latin
53,Falling,['Trevor Daniel'],4TnjEaWOeW0eKTKIEvJyCa,"['r&b', 'rap']",0.785,0.431,10,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127.085,Trevor Daniel,,,r&b,rap,
54,Ella No Quiere Rosé,"['Rvfv', 'Bandaga']",6Aqeqb9rVNA1U6zuuxczQZ,"['urban', 'rap']",0.861,0.599,1,-6.162,1,0.142,0.162,1.09e-05,0.0322,0.469,95.99,Rvfv,Bandaga,,urban,rap,
55,Con Calma,"['Daddy Yankee', 'Snow']",2EBKmd9f39SGoqAkDoh2Ug,"['reggaeton', 'hip hop', 'rap', 'latin']",0.737,0.86,8,-2.652,0,0.0594,0.11,1.94e-06,0.0574,0.656,93.989,Daddy Yankee,Snow,,reggaeton,hip hop,rap
56,Memories,['Maroon 5'],2b8fOow8UzyDFAE27YhOZM,"['rock', 'pop']",0.764,0.32,11,-7.209,1,0.0546,0.837,0.0,0.0822,0.575,91.019,Maroon 5,,,rock,pop,
57,Soltera - Remix,"['Lunay', 'Daddy Yankee', 'Bad Bunny']",1c0hsvHLELX6y8qymnpLKL,"['reggaeton', 'pop', 'rap', 'latin']",0.795,0.783,5,-4.271,1,0.0432,0.361,0.0,0.437,0.799,92.01,Lunay,Daddy Yankee,Bad Bunny,reggaeton,pop,rap
58,Calma - Remix,"['Pedro Capó', 'Farruko']",5iwz1NiezX7WWjnCgY5TH4,"['pop', 'latin']",0.826,0.773,11,-4.218,0,0.0524,0.323,0.0,0.143,0.761,126.899,Pedro Capó,Farruko,,pop,latin,
59,LowKey,['Bryant Myers'],3aSZoM8ZylbB0xCBkGpNTg,"['reggaeton', 'rap', 'latin']",0.764,0.693,6,-4.667,0,0.396,0.144,0.0,0.254,0.682,179.866,Bryant Myers,,,reggaeton,rap,latin
60,Hookah,['Bad Gyal'],4piZ5m1vZGDkfyHga5U97m,"['rap', 'urban']",0.872,0.579,0,-6.149,1,0.113,0.0699,2.38e-06,0.116,0.483,103.973,Bad Gyal,,,rap,urban,
61,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,['Travis Scott'],7h0d2h0fUmzbs7zeFigJPn,"['rap', 'house']",0.559,0.491,2,-6.406,0,0.0346,0.0567,0.0,0.0992,0.114,153.131,Travis Scott,,,rap,house,
62,Infeliz,"['Arcangel', 'Bad Bunny']",4z6wo6PJG4Fve45OXK6D9m,"['reggaeton', 'hip hop', 'rap', 'latin']",0.713,0.798,1,-3.147,1,0.219,0.366,4.3e-06,0.246,0.721,176.073,Arcangel,Bad Bunny,,reggaeton,hip hop,rap
63,Presiento,"['Morat', 'Aitana']",2V4hc5gplg7EXlrRUvD4rp,"['pop', 'latin']",0.711,0.727,2,-3.15,1,0.162,0.168,0.0,0.296,0.465,180.039,Morat,Aitana,,pop,latin,
64,Baila Conmigo (feat. Kelly Ruiz),"['Dayvi', 'Victor Cardenas', 'Kelly Ruíz']",4Clmg1g8n2yBYG13Z1oSdG,"['guaracha', 'circuit']",0.745,0.972,7,-3.506,1,0.0774,0.00903,0.465,0.297,0.556,128.031,Dayvi,Victor Cardenas,Kelly Ruíz,guaracha,circuit,
65,bad guy,['Billie Eilish'],2Fxmhks0bxGSBdJ92vM42m,"['pop', 'electro']",0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,Billie Eilish,,,pop,electro,
66,Ayy Macarena,['Tyga'],6LcauUZjF1eXQrgqMUecHX,"['hip hop', 'pop', 'rap']",0.816,0.629,2,-5.568,1,0.226,0.133,0.0,0.0692,0.714,96.493,Tyga,,,hip hop,pop,rap
67,Gan-Ga - Remix,"['Bryant Myers', 'Anuel AA']",27qRmG3zOWPvMYUkpPdQ1g,"['reggaeton', 'rap', 'latin']",0.861,0.572,6,-6.537,0,0.415,0.382,0.0,0.0853,0.396,90.052,Bryant Myers,Anuel AA,,reggaeton,rap,latin
68,Don't Start Now,['Dua Lipa'],5IJvmz922TGSdU9ABnlprB,['pop'],0.768,0.751,11,-6.185,0,0.0509,0.0459,2.82e-06,0.351,0.809,123.978,Dua Lipa,,,pop,,
69,MALA SANTA,['Becky G'],5e50NiIlOc2YJIftHzoehd,"['reggaeton', 'pop', 'rap', 'latin']",0.851,0.701,9,-3.649,1,0.0396,0.311,0.000211,0.163,0.527,98.039,Becky G,,,reggaeton,pop,rap
70,Me Quedo,"['Aitana', 'Lola Indigo']",6Nqi1fWKYXrVXmF3RtQbSf,"['pop', 'latin']",0.824,0.714,11,-2.788,1,0.051,0.432,0.0,0.442,0.77,97.035,Aitana,Lola Indigo,,pop,latin,
71,Bésame,"['David Bisbal', 'Juan Magán']",7kcSKOl5rR4zGxFNYhkeRX,"['rock', 'pop', 'latin']",0.738,0.826,6,-4.066,1,0.0459,0.0541,0.0,0.115,0.872,97.943,David Bisbal,Juan Magán,,rock,pop,latin
72,Easy,['Jhay Cortez'],7fTsw0IKbbPDN19keS32tF,"['reggaeton', 'rap', 'latin']",0.853,0.777,1,-4.023,0,0.0684,0.101,0.000615,0.332,0.547,94.031,Jhay Cortez,,,reggaeton,rap,latin
73,Diavla,"['Chris Viz', 'Young Vene']",0Hv33beQ6rSQPnRPlt83O8,[],0.855,0.609,5,-5.224,1,0.0744,0.217,1.27e-05,0.195,0.739,100.016,Chris Viz,Young Vene,,,,
74,Lola Bunny,"['Lola Indigo', 'Don Patricio']",7IzbHY75UhGztauT7U5eKb,['pop'],0.769,0.899,9,-1.843,0,0.0503,0.193,0.00979,0.23,0.872,94.987,Lola Indigo,Don Patricio,,pop,,
75,No Te Debí Besar,"['C. Tangana', 'Paloma Mami']",1KdwnsWOvhM53vezy5ROuf,['urban'],0.672,0.684,9,-5.682,0,0.316,0.125,0.0261,0.183,0.62,75.233,C. Tangana,Paloma Mami,,urban,,
76,Me Equivocaré,['Antonio José'],4AFoE3HNniPmO29rPWw3FG,"['pop', 'flamenco']",0.564,0.729,2,-4.178,1,0.159,0.0623,0.0,0.0378,0.726,80.51,Antonio José,,,pop,flamenco,
77,Sueño (con Pablo Alborán),['Beret'],71M1szVbVYZM5M6QlIm6aC,"['hip hop', 'pop']",0.667,0.613,8,-5.604,0,0.0412,0.372,0.0,0.174,0.54,105.064,Beret,,,hip hop,pop,
78,Djadja,['Aya Nakamura'],7sKDftgGirHWTVFMtJoDoh,"['francoton', 'basshall']",0.811,0.797,5,-5.428,1,0.165,0.0617,0.0,0.112,0.541,97.988,Aya Nakamura,,,francoton,basshall,
79,No Vuelvas Más,['Darell'],0mcBgVRVsvESTkEyVHt7Ue,"['reggaeton', 'hip hop', 'rap', 'latin']",0.866,0.602,11,-5.236,1,0.0844,0.434,3.06e-05,0.0567,0.836,95.016,Darell,,,reggaeton,hip hop,rap
80,Piensan,"['Haze', 'Myke Towers']",0i9oiUkWOgvtnjkr0fa3XN,['pop'],0.677,0.722,2,-4.443,0,0.0626,0.538,0.0,0.11,0.786,172.0,Haze,Myke Towers,,pop,,
81,A Escondidas,"['$kyhook', 'Morad']",44aqOr4450KjyEZuW9Ekpm,['urban'],0.785,0.427,3,-10.705,1,0.187,0.544,7e-05,0.132,0.587,98.017,$kyhook,Morad,,urban,,
82,Cristina (feat. Shelow Shaq),"['Maffio', 'Justin Quiles', 'Nacho']",2egI1hFZDAYrkCgtepoore,['pop'],0.861,0.599,1,-4.205,1,0.246,0.183,0.0,0.0921,0.869,102.119,Maffio,Justin Quiles,Nacho,pop,,
83,Cuerpo en Venta,"['Noriel', 'Myke Towers', 'Rauw Alejandro', 'Almighty']",2B94bbI1a4LyBpK1439oP7,"['reggaeton', 'hip hop', 'rap', 'latin']",0.696,0.601,11,-5.749,1,0.302,0.161,0.0,0.0974,0.408,91.924,Noriel,Myke Towers,Rauw Alejandro,reggaeton,hip hop,rap
84,Mirándote,['Rvfv'],6wywJ7RutAY0JL7cMP7uFN,"['urban', 'rap']",0.689,0.739,0,-5.566,1,0.112,0.236,0.000147,0.111,0.473,106.447,Rvfv,,,urban,rap,
85,Milionària,['ROSALÍA'],2K3bjojp1sCLdMMoO5lJ2p,['r&b'],0.857,0.574,8,-6.441,1,0.416,0.602,1.24e-06,0.0663,0.906,116.008,ROSALÍA,,,r&b,,
86,Te Robaré,"['Nicky Jam', 'Ozuna']",4PJ3umtW1aWdfh5EITHc6T,"['reggaeton', 'hip hop', 'rap', 'latin']",0.673,0.752,2,-3.572,0,0.0561,0.241,4.51e-05,0.0813,0.797,175.997,Nicky Jam,Ozuna,,reggaeton,hip hop,rap
87,Qué Pena,"['Maluma', 'J Balvin']",5099x34vBakWpGkHourFxP,"['reggaeton', 'latin']",0.635,0.661,11,-6.425,0,0.364,0.102,0.0,0.336,0.858,126.15,Maluma,J Balvin,,reggaeton,latin,
88,15+1,['El Greco'],0JFSOhVbn5I4wCrTgT8bnZ,['urban'],0.795,0.502,2,-7.217,1,0.264,0.389,6.17e-06,0.0817,0.535,94.967,El Greco,,,urban,,
89,Me vas a ver,['Beret'],5BhSZWrUa5xkZ2K7Ze5fVT,"['hip hop', 'pop']",0.536,0.287,3,-8.553,1,0.103,0.867,0.0,0.101,0.701,78.243,Beret,,,hip hop,pop,
90,Adan y Eva,['Paulo Londra'],6FyRXC8tJUh863JCkyWqtk,"['hip hop', 'rap']",0.767,0.709,1,-4.47,1,0.336,0.323,0.0,0.0676,0.72,171.993,Paulo Londra,,,hip hop,rap,
91,Someone You Loved,['Lewis Capaldi'],7qEHsqek33rTcFNT9PFqLf,['pop'],0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,Lewis Capaldi,,,pop,,
92,Me llama,['Beret'],7piXNyrajEfqhOkzgDq2Ts,"['hip hop', 'pop']",0.682,0.55,1,-5.91,1,0.105,0.175,0.0,0.116,0.271,90.727,Beret,,,hip hop,pop,
93,11 PM,['Maluma'],7KbF6AdprOXEEHlsq11Z6d,"['reggaeton', 'latin']",0.777,0.712,10,-4.84,1,0.277,0.217,0.0,0.091,0.68,95.692,Maluma,,,reggaeton,latin,
94,Si Me Gano Un Grammy,['Jon Z'],0e0BqjHEcb6pJAVJ7WZA7V,"['reggaeton', 'rap']",0.812,0.63,4,-5.789,0,0.263,0.048,0.0,0.11,0.459,99.739,Jon Z,,,reggaeton,rap,
95,Loco Contigo (feat. J. Balvin & Tyga),"['DJ Snake', 'J Balvin']",6osaMSJh9NguagEDQcZaKx,"['pop', 'electro', 'edm']",0.694,0.758,11,-2.986,1,0.218,0.278,1.34e-06,0.102,0.371,192.091,DJ Snake,J Balvin,,pop,electro,edm
96,Apriétala,"['Rvfv', 'Pablo Mas']",0VLIfeftkYpJgzqUvJc0BP,"['urban', 'rap']",0.897,0.683,8,-6.172,1,0.056,0.181,0.000503,0.0483,0.68,124.96,Rvfv,Pablo Mas,,urban,rap,
97,"Trueno: Bzrp Music Sessions, Vol. 16","['Bizarrap', 'Trueno']",7ouulWlZPefmEIGYWNyiPH,"['hip hop', 'pop', 'rap']",0.726,0.602,7,-7.678,1,0.501,0.779,9.35e-06,0.0827,0.807,130.608,Bizarrap,Trueno,,hip hop,pop,rap
98,I Don't Care (with Justin Bieber),['Ed Sheeran'],3HVWdVOQ0ZA45FuZGSfvns,['pop'],0.798,0.675,6,-5.041,1,0.0442,0.0912,0.0,0.0894,0.842,101.956,Ed Sheeran,,,pop,,
99,X.O.X.O.,"['Pedro Calderon', ""D' La Crem""]",439bhfWUo0JI6wmfvm4Auq,[],0.507,0.819,6,-3.238,0,0.127,0.439,0.00773,0.0844,0.569,199.812,Pedro Calderon,D' La Crem,,,,
100,Soldadito de Hierro,['Nil Moliner'],1wWSi1N5mBif8926JR78Ju,['pop'],0.716,0.344,9,-7.528,1,0.14,0.87,0.0,0.0945,0.412,81.86,Nil Moliner,,,pop,,
101,QUE PRETENDES,"['J Balvin', 'Bad Bunny']",25ZAibhr3bdlMCLmubZDVt,"['reggaeton', 'rap', 'latin']",0.639,0.791,10,-4.443,0,0.253,0.0275,0.0,0.362,0.939,92.603,J Balvin,Bad Bunny,,reggaeton,rap,latin
102,everything i wanted,['Billie Eilish'],3ZCTVFBt2Brf31RLEnCkWJ,"['pop', 'electro']",0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,Billie Eilish,,,pop,electro,
103,Con La Miel En Los Labios,['Aitana'],2QJcrJNa4KGxQ6bw0MH3Zx,"['pop', 'latin']",0.662,0.331,6,-8.35,1,0.0407,0.869,0.0,0.114,0.432,113.779,Aitana,,,pop,latin,
104,MALAMENTE - Cap.1: Augurio,['ROSALÍA'],1B0BQaSRHxhI0AUlItY3LK,['r&b'],0.893,0.482,0,-4.779,0,0.0873,0.549,0.0164,0.0752,0.53,97.975,ROSALÍA,,,r&b,,
105,Lo siento,['Beret'],5o2M4yHxo9kyNLdgihFeV1,"['hip hop', 'pop']",0.362,0.42,2,-7.951,1,0.0582,0.655,0.0,0.133,0.284,77.077,Beret,,,hip hop,pop,
