,Track,Artists,id,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Artists_1,Artists_2,Artists_3,genres_1,genres_2,genres_3
514,La Buena Sombra,['IZAL'],67HWsN2AzmPNiIY8H4ZGYs,"['indie', 'rock', 'cantautor', 'pop']",0.595,0.882,4,-4.504,0,0.0706,0.498,0.0,0.118,0.435,156.103,IZAL,,,indie,rock,cantautor
515,Aves Enjauladas,['Rozalén'],7vi5ATzi8QEwPb2flP5V2J,['pop'],0.583,0.358,9,-7.989,1,0.0342,0.748,0.0,0.0917,0.561,106.741,Rozalén,,,pop,,
516,Trofeo,['Sech'],4d2xH6EHSOycRY4BjOTKel,"['reggaeton', 'pop', 'rap', 'latin']",0.744,0.758,6,-4.04,1,0.0554,0.267,0.000813,0.0872,0.879,153.92,Sech,,,reggaeton,pop,rap
517,Cadenas,['Maikel Delacalle'],4Qi9qR6nOoNUutw2eaCTYw,"['pop', 'rap', 'urban']",0.81,0.657,0,-3.274,1,0.244,0.153,0.0,0.0931,0.308,174.083,Maikel Delacalle,,,pop,rap,urban
518,La Gatita,"['Lalo Ebratt', 'Tainy']",2fFzjaJfyKnm4Ss4XJ9rU2,"['rap', 'reggaeton', 'pop', 'hip hop', 'latin']",0.627,0.714,7,-3.022,1,0.149,0.0574,1.32e-05,0.0827,0.345,186.081,Lalo Ebratt,Tainy,,rap,reggaeton,pop
519,I’m Ready (with Demi Lovato),['Sam Smith'],1fipvP2zmef6vN2IwXfJhY,['pop'],0.501,0.674,5,-6.363,1,0.0408,0.00346,3.56e-05,0.282,0.152,155.051,Sam Smith,,,pop,,
520,Escápate,['Naim Darrechi'],4rgPmoYCYGuWl821vOvIHv,['pop'],0.81,0.448,0,-4.035,0,0.0563,0.21,0.0,0.0704,0.669,130.013,Naim Darrechi,,,pop,,
521,Baby,"['El Daddy', 'Rvfv', 'Daviles de Novelda']",3plOodIqdpJZhgk9ArnHtb,['urban'],0.844,0.855,9,-3.703,1,0.062,0.655,0.00665,0.0685,0.956,95.03,El Daddy,Rvfv,Daviles de Novelda,urban,,
522,Por Primera Vez,"['Camilo', 'Evaluna Montaner']",0gWbAFRcUyZKdfUxEOuOiD,"['reggaeton', 'pop']",0.716,0.588,1,-3.952,1,0.116,0.152,0.0,0.0847,0.707,165.896,Camilo,Evaluna Montaner,,reggaeton,pop,
523,Perreo Intenso,"['Ankhal', 'Farruko', 'Guaynaa', 'KEVVO']",4B2kFp1ulVz1FgwVYSShoj,['reggaeton'],0.747,0.95,4,-2.946,0,0.263,0.0417,1.72e-06,0.0875,0.689,183.912,Ankhal,Farruko,Guaynaa,reggaeton,,
524,Inolvidable,"['Ovy On The Drums', 'Beéle']",0OTtnwUO8natNWSwdZvXVF,"['reggaeton', 'pop', 'rap', 'latin']",0.84,0.543,0,-4.941,1,0.0568,0.678,0.0,0.128,0.74,139.929,Ovy On The Drums,Beéle,,reggaeton,pop,rap
525,20 de abril,['Celtas Cortos'],7ifOnwJC0oH7cfbJQbUye1,"['pop', 'spanish new wave', 'rock', 'cantautor', 'latin', 'música pitiusa']",0.611,0.866,0,-5.135,1,0.0285,0.0274,2.89e-05,0.278,0.826,114.016,Celtas Cortos,,,pop,spanish new wave,rock
526,Skechers,['DripReport'],2alc8VZAzDgdAsL2QMk3hu,['rap'],0.903,0.327,1,-9.727,1,0.0877,0.26,0.011,0.108,0.274,100.008,DripReport,,,rap,,
527,Pensamientos,['Morad'],0qhRcON3XfDTeeDC8PVmpL,"['urban', 'drill']",0.551,0.764,3,-6.008,0,0.269,0.62,5.27e-06,0.112,0.503,103.502,Morad,,,urban,drill,
528,Lo Malo,['Morad'],49NRbchJlE6KI508aCLfT9,"['urban', 'drill']",0.767,0.763,2,-4.967,0,0.104,0.226,0.000294,0.125,0.491,97.989,Morad,,,urban,drill,
529,Tienes Que,['Morad'],1qmoMTSBtAMf7hs9l6Ss9b,"['urban', 'drill']",0.82,0.649,11,-6.013,1,0.0376,0.592,2.4e-05,0.125,0.788,130.001,Morad,,,urban,drill,
530,No Hace Na,['Morad'],6Yqwk7tGJYbvc1Se0tbahd,"['urban', 'drill']",0.771,0.739,9,-5.774,0,0.0783,0.203,0.0,0.156,0.445,104.03,Morad,,,urban,drill,
531,SICKO MODE,['Travis Scott'],2xLMifQCjDGFmkHkpNLD9h,"['rap', 'house']",0.834,0.73,8,-3.714,1,0.222,0.00513,0.0,0.124,0.446,155.008,Travis Scott,,,rap,house,
532,Nunca Estoy,['C. Tangana'],6N4ioa3XSbvjmwdVEERl8F,['urban'],0.913,0.369,2,-5.299,1,0.12,0.476,0.00609,0.309,0.436,135.019,C. Tangana,,,urban,,
533,Recuerdos - Freestyle,['Morad'],4ABxiBGIzg1LTqgKBW9bwG,"['urban', 'drill']",0.823,0.787,5,-3.963,0,0.0383,0.341,0.000235,0.126,0.817,131.05,Morad,,,urban,drill,
534,goosebumps,['Travis Scott'],6gBFPUFcJLzWGx4lenP6h2,"['rap', 'house']",0.841,0.728,7,-3.37,1,0.0484,0.0847,0.0,0.149,0.43,130.049,Travis Scott,,,rap,house,
535,THE SCOTTS,"['THE SCOTTS', 'Travis Scott', 'Kid Cudi']",39Yp9wwQiSRIDOvrVg7mbk,[],0.716,0.537,0,-7.648,0,0.0514,0.233,0.0,0.157,0.28,129.979,THE SCOTTS,Travis Scott,Kid Cudi,,,
536,"Hola, Nena (feat. Omar Montes)",['Nyno Vargas'],2EAwcFW9NeuhnZ0q5aYhFL,"['pop', 'flamenco', 'hip hop', 'rumba', 'urban']",0.749,0.772,8,-2.976,0,0.243,0.469,1.14e-06,0.0935,0.718,179.896,Nyno Vargas,,,pop,flamenco,hip hop
537,ADMV,['Maluma'],3eJMSq78dDaFb7VvhNFnq6,"['reggaeton', 'latin']",0.565,0.39,9,-4.959,1,0.0556,0.817,0.0,0.126,0.708,163.781,Maluma,,,reggaeton,latin,
538,Sin Más,['Samantha'],69ABUF7WLbzYixqY4uAIFW,"['pop', 'latin']",0.721,0.745,0,-7.13,0,0.0376,0.175,0.00125,0.15,0.431,135.05,Samantha,,,pop,latin,
539,La Luna,"['Los del Control', 'DELLAFUENTE']",5ly2dOakEFBpaqWrXHepyQ,['urban'],0.76,0.795,11,-3.973,0,0.0625,0.17,0.0,0.134,0.564,92.025,Los del Control,DELLAFUENTE,,urban,,
540,Loco - Remix,"['Farruko', 'Beéle', 'Natti Natasha', 'Manuel Turizo']",6nGM44ZP7vSo0istUW2MOq,"['reggaeton', 'hip hop', 'rap', 'latin']",0.908,0.529,6,-7.032,1,0.135,0.157,0.000142,0.0634,0.743,105.021,Farruko,Beéle,Natti Natasha,reggaeton,hip hop,rap
541,BUTTERFLY EFFECT,['Travis Scott'],2cYqizR4lgvp4Qu6IQ3qGN,"['rap', 'house']",0.763,0.628,11,-5.85,1,0.05,0.0531,0.0,0.114,0.193,140.958,Travis Scott,,,rap,house,
542,STARGAZING,['Travis Scott'],7wBJfHzpfI3032CSD7CE2m,"['rap', 'house']",0.487,0.789,8,-3.69,1,0.044,0.00947,4.05e-06,0.189,0.0564,150.007,Travis Scott,,,rap,house,
543,Illuminati,"['Lil Pump', 'Anuel AA']",0IGQvkMGwRuL0wWzVQw1Bc,"['hip hop', 'rap']",0.764,0.538,8,-5.358,1,0.271,0.18,0.0,0.0967,0.233,129.942,Lil Pump,Anuel AA,,hip hop,rap,
